,Age,Years Worked,Commercial,Shareholder,Has App,Owns Car,Owns House,Wages Paid,Last Payment,Investment Risk,Total Asset Code,Potential Asset Code,Financial Producs,Fund Purchases,Insurance Purchases,Gold Purchases,Has Loan,Total Loans,Overdue Loans,Overdue Days,Has Credit Cards,Credit Use,Debit Cards,Credit Cards,Debit ,Credit,Debit Card Level,F,M,Bachelors,Doctorate,Masters,Post-secondary,Upper Secondary,Divorced,Married,Never Married,Separated,Widowed,Flag
0,23,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,325,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1,26,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1683,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2,46,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,466,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3,30,1,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,3,-1,167,0,0,1,0,1,0,0,0,0,1,0,0,0,0
4,30,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
5,45,3,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,2,-1,1323,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6,38,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,1,-1,1872,0,0,1,0,1,0,0,0,0,1,0,0,0,0
7,34,0,0,0,1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,1,-1,867,0,0,1,0,1,0,0,0,0,1,0,0,0,0
8,30,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,2,0,3,-1,256,0,0,1,0,1,0,0,0,0,1,0,0,0,0
9,30,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,2,-1,319,0,0,1,0,1,0,0,0,0,1,0,0,0,0
10,25,4,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,3,-1,690,0,0,1,0,1,0,0,0,0,1,0,0,0,0
11,28,2,0,0,0,0,0,0,-1,0,2,-1,0,0,0,0,0,0,0,0,1,3,0,3,-1,118,0,0,1,0,1,0,0,0,0,1,0,0,0,0
12,31,4,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,927,0,0,1,0,1,0,0,0,0,1,0,0,0,0
13,27,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,5,0,3,-1,826,0,0,1,0,1,0,0,0,0,1,0,0,0,0
14,26,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,896,0,0,1,0,1,0,0,0,0,1,0,0,0,0
15,30,2,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,921,0,0,1,0,1,0,0,0,0,1,0,0,0,0
16,53,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,3,0,2,-1,165,0,0,1,0,1,0,0,0,0,1,0,0,0,0
17,30,0,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,4,0,2,-1,2244,0,0,1,0,1,0,0,0,0,1,0,0,0,0
